state,status
wyoming,Sports betting status: Legal - Not Yet Operational
virginia,"Sports betting status: Live, Legal*"
tennessee,"Sports betting status: Live, Legal*"
west-virginia,"Sports betting status: Live, Legal*"
wisconsin,Sports betting status: Legal - Not Yet Operational
south-dakota,Sports betting status: Legal - Not Yet Operational
rhode-island,"Sports betting status: Live, Legal*"
washington,Sports betting status: Legal - Not Yet Operational
pennsylvania,"Sports betting status: Live, Legal*"
oregon,"Sports betting status: Live, Legal*"
north-dakota,"Sports betting status: Live, Legal*"
ohio,Sports betting status: Active or Pre-Filed Legislation in 2021
new-york,"Sports betting status: Live, Legal*"
new-jersey,"Sports betting status: Live, Legal*"
new-mexico,"Sports betting status: Live, Legal*"
north-carolina,"Sports betting status: Live, Legal*"
nevada,"Sports betting status: Live, Legal*"
new-hampshire,"Sports betting status: Live, Legal*"
massachusetts,Sports betting status: Active or Pre-Filed Legislation in 2021
nebraska,Sports betting status: Legal - Not Yet Operational
montana,"Sports betting status: Live, Legal*"
mississippi,"Sports betting status: Live, Legal*"
michigan,"Sports betting status: Live, Legal*"
louisiana,Sports betting status: Legal - Not Yet Operational
maryland,Sports betting status: Legal - Not Yet Operational
iowa,"Sports betting status: Live, Legal*"
illinois,"Sports betting status: Live, Legal*"
indiana,"Sports betting status: Live, Legal*"
district-of-columbia,"Sports betting status: Live, Legal*"
florida,Sports betting status: Legal - Not Yet Operational
delaware,"Sports betting status: Live, Legal*"
colorado,"Sports betting status: Live, Legal*"
connecticut,Sports betting status: Legal - Not Yet Operational
arizona,Sports betting status: Legal - Not Yet Operational
arkansas,"Sports betting status: Live, Legal*"
